PH,AP,SOC,TN,TP,Population,age010,age6580,Temperature,Precipitation,DEM,Road,GDP,NDVI,Longitude,Latitude,Tetracyclines
7.89,0.135,2.39,2.151,3.093,226,13.08459297,9.074035874,17.86782,1091.202,1341,7.474858,2205,153,103.430001,23.331089,0.219468292
7.29,0.399,1.89,2.467,2.946,226,13.08457317,9.074030944,17.86782,1091.202,1341,7.474858,2205,151,103.42991,23.326149,1.914940879
7.95,0.0394,4.32,3.762,2.414,10741,13.08457271,9.07402912,18.9049,1066.301,1308,8.657952,5332,140,103.392789,23.367504,0
8.01,0.0234,1.62,1.542,1.097,2265,13.08457195,9.074029888,18.9049,1066.301,1308,8.657952,5332,135,103.390481,23.367447,11.64097544
7.49,0.0479,4.62,3.462,1.247,10741,13.08457169,9.074029538,18.67043,1066.245,1307,12.89922,5188,83,103.39608,23.368481,42.22749163
8.2,0.0183,1.3,1.356,0.746,2265,13.08457195,9.074031302,18.9049,1066.301,1307,8.363558,5188,166,103.390006,23.372952,5.863176019
7.32,0.126,3.13,3.719,4.062,2265,13.08457098,9.074029539,18.9049,1066.301,1307,8.363558,5188,136,103.390593,23.372051,5.833742404
8.13,0.0512,3.27,2.618,1.73,10741,13.08457258,9.074029246,18.9049,1066.301,1308,8.657952,5332,168,103.391844,23.367686,3.112048079
8.09,0.023,1.13,1.2,0.738,2265,13.08457357,9.074027184,18.9049,1066.301,1307,8.363558,5188,93,103.390797,23.370473,0.83450454
8.05,0.0151,1.03,1.057,0.788,2265,13.08457074,9.074030295,18.9049,1066.301,1307,8.363558,5188,123,103.391065,23.368523,0.930451401
8.04,0.0405,3.13,2.873,1.589,10741,13.08457288,9.074029348,18.67043,1066.245,1308,4.899508,5664,142,103.39768,23.368016,0.861656048
7.76,0.00515,1.1,1.033,0.583,84,12.23401891,10.77649027,18.57705,1046.66,1312,1.280087,2450,145,103.326835,23.371059,0.084011174
8.08,0.0084,2.02,1.318,0.619,84,12.23401391,10.7764399,18.65573,1046.877,1312,1.280087,2682,115,103.330011,23.369783,0.24521502
